No.,Time,Source,Destination,Protocol,Length,Info,,,,,
85,0.442631,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005341
86,0.448221,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.00559
87,0.453363,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005142
88,0.458627,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005264
89,0.464843,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.006216
90,0.469301,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.004458
91,0.474777,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005476
92,0.479972,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005195
93,0.485319,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005347
94,0.490672,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005353
95,0.49603,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005358
96,0.501298,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005268
97,0.50672,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005422
98,0.509834,192.168.0.12,192.168.0.255,BROWSER,224,Request Announcement LAP-1Q8XDV1,,,,,0.003114
99,0.512452,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.002618
100,0.5173,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.004848
101,0.522653,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005353
102,0.528028,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005375
103,0.533376,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005348
104,0.538634,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005258
105,0.5441,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005466
106,0.549322,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005222
107,0.554956,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005634
108,0.559958,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005002
109,0.565315,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005357
110,0.570718,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005403
111,0.575972,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005254
112,0.581284,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005312
113,0.591972,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.010688
114,0.597323,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005351
115,0.602637,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005314
116,0.607981,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005344
117,0.613388,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.005407
118,0.613821,192.168.0.12,192.168.0.255,NBNS,92,Name query NB ISATAP<00>,,,,,0.000433
119,0.618645,192.168.0.11,192.168.0.12,UDP,570,Source port: 34814  Destination port: 1234,,,,,0.004824
